location,list_price,unit_price,number_bedroom,number_bathroom,area,type
"Kuala Lumpur, Kuala Lumpur",828000.0,37142.0,4.0,4.0,222.962,House
"Kuala Lumpur, Kuala Lumpur",8800000.0,147162.0,4.0,5.0,5982.0,House
"Kuala Lumpur, Kuala Lumpur",812000.0,54632.0,4.0,4.0,148.642,House
"Kuala Lumpur, Kuala Lumpur",1880000.0,91652.0,5.0,5.0,205.122,Condo
"Kuala Lumpur, Kuala Lumpur",900000.0,38752.0,5.0,5.0,232.252,House
"Kuala Lumpur, Kuala Lumpur",900000.0,38752.0,5.0,5.0,232.252,House
"Gombak, Selangor",5600000.0,82172.0,8.0,8.0,681.512,House
"Kuala Lumpur, Kuala Lumpur",760000.0,38962.0,4.0,3.0,195.092,House
"Gombak, Selangor",828008.0,38752.0,4.0,4.0,213.672,House
"Kuala Lumpur, Kuala Lumpur",470000.0,18742.0,3.0,3.0,250.832,Townhouse
"Kuala Lumpur, Kuala Lumpur",828000.0,37142.0,4.0,4.0,222.962,House
"Kuala Lumpur, Kuala Lumpur",740000.0,37932.0,4.0,3.0,195.092,House
"Kuala Lumpur, Kuala Lumpur",1870000.0,181502.0,1.0,2.0,103.032,Condo
"Gombak, Selangor",828000.0,37142.0,4.0,4.0,222.962,House
"Kuala Lumpur, Kuala Lumpur",928000.0,41622.0,4.0,4.0,222.962,House
"Kinta, Perak",215800.0,26002.0,3.0,2.0,832.0,House
"Gombak, Selangor",747000.0,38292.0,4.0,3.0,195.092,House
"Gombak, Selangor",828800.0,38792.0,4.0,4.0,213.672,House
"Sepang, Selangor",449000.0,40452.0,3.0,3.0,1112.0,Condo
"Sepang, Selangor",449000.0,40452.0,3.0,3.0,1112.0,Condo
Johor,630000.0,4092.0,4.0,3.0,15402.0,House
"Kinta, Perak",620000.0,33702.0,3.0,2.0,183.952,House
"Ulu Selangor, Selangor",2000000.0,3642.0,5.0,6.0,55002.0,House
"Kuala Kangsar, Perak",278880.0,29992.0,4.0,2.0,932.0,House
"Johor Bahru, Johor",735000.0,54302.0,4.0,4.0,135.362,Condo
"Johor Bahru, Johor",315000.0,49212.0,2.0,1.0,64.012,Condo
"Johor Bahru, Johor",335000.0,18202.0,4.0,2.0,184.032,Condo
"Gombak, Selangor",1080000.0,59682.0,4.0,3.0,180.972,Condo
"Johor Bahru, Johor",1030000.0,4192.0,5.0,5.0,24572.0,House
"Kinta, Perak",288000.0,22962.0,3.0,2.0,125.422,House
"Ulu Langat, Selangor",895000.0,3582.0,5.0,3.0,25002.0,House
"Johor Bahru, Johor",310000.0,35242.0,3.0,2.0,87.982,Apartment
"Kuala Lumpur, Kuala Lumpur",3960000.0,319302.0,3.0,3.0,124.022,Condo
"Gombak, Selangor",465000.0,41372.0,3.0,3.0,112.412,Condo
"Kuala Lumpur, Kuala Lumpur",899000.0,58052.0,4.0,3.0,154.862,Condo
"Putrajaya, Putrajaya",3850000.0,4812.0,9.0,9.0,80002.0,House
"Kuala Lumpur, Kuala Lumpur",1956250.0,134552.0,4.0,3.0,145.392,Condo
"Johor Bahru, Johor",1130000.0,4752.0,4.0,3.0,23802.0,House
"Kinta, Perak",358000.0,21412.0,4.0,3.0,167.232,House
"Kinta, Perak",538000.0,24452.0,4.0,4.0,2202.0,House
"Petaling, Selangor",1591800.0,128352.0,2.0,2.0,124.022,Condo
"Petaling, Selangor",980000.0,108312.0,2.0,2.0,90.482,Condo
"Kuala Lumpur, Kuala Lumpur",890000.0,72142.0,3.0,3.0,123.372,Condo
"Johor Bahru, Johor",350000.0,57262.0,2.0,2.0,61.132,Condo
"Kuala Lumpur, Kuala Lumpur",3960000.0,129172.0,3.0,5.0,306.572,Condo
"Kuala Lumpur, Kuala Lumpur",610000.0,39922.0,3.0,2.0,152.822,Condo
"Johor Bahru, Johor",370000.0,3952.0,3.0,2.0,9372.0,Condo
"Kuala Lumpur, Kuala Lumpur",2590000.0,103222.0,4.0,5.0,250.922,Condo
"Johor Bahru, Johor",328000.0,35102.0,3.0,2.0,93.462,Apartment
"Gombak, Selangor",1200000.0,5172.0,5.0,5.0,23232.0,House
"Johor Bahru, Johor",295000.0,24002.0,3.0,2.0,122.912,Condo
"Kuala Lumpur, Kuala Lumpur",298000.0,37652.0,3.0,2.0,79.152,Apartment
"Johor Bahru, Johor",1220000.0,35492.0,5.0,5.0,343.732,House
"Kinta, Perak",398000.0,14852.0,3.0,2.0,268.022,House
"Kinta, Perak",350000.0,26922.0,4.0,3.0,1302.0,House
"Kinta, Perak",330000.0,23062.0,3.0,2.0,143.12,House
"Kuala Kangsar, Perak",268000.0,17482.0,3.0,2.0,153.32,House
"Kinta, Perak",338000.0,21762.0,4.0,3.0,155.342,House
"Kuala Lumpur, Kuala Lumpur",1138000.0,97922.0,3.0,3.0,116.222,Condo
"Kuala Lumpur, Kuala Lumpur",420000.0,45352.0,3.0,2.0,92.622,Condo
"Ulu Langat, Selangor",320000.0,35962.0,3.0,2.0,892.0,Apartment
"Kuala Lumpur, Kuala Lumpur",2200000.0,87712.0,3.0,2.0,250.832,Condo
"Gombak, Selangor",5000000.0,82802.0,6.0,7.0,603.852,House
"Sepang, Selangor",1800000.0,60322.0,5.0,6.0,298.392,House
"Johor Bahru, Johor",280000.0,35672.0,3.0,2.0,78.52,Apartment
"Kuala Lumpur, Kuala Lumpur",530000.0,51442.0,3.0,2.0,103.032,Condo
"Kuala Lumpur, Kuala Lumpur",1794193.0,93172.0,4.0,4.0,192.582,Condo
"Kuala Lumpur, Kuala Lumpur",850000.0,50832.0,4.0,3.0,167.222,Condo
"Seremban, Negeri Sembilan",332683.0,14112.0,4.0,3.0,235.782,House
"Kuala Lumpur, Kuala Lumpur",899000.0,58052.0,4.0,3.0,154.862,Condo
"Kinta, Perak",318000.0,31992.0,3.0,2.0,99.42,Condo
"Johor Bahru, Johor",450000.0,43722.0,3.0,2.0,102.932,Condo
"Kuala Lumpur, Kuala Lumpur",799000.0,64432.0,3.0,3.0,124.022,Condo
"Johor Bahru, Johor",348000.0,50622.0,2.0,2.0,68.752,Condo
"Johor Bahru, Johor",558000.0,2792.0,4.0,4.0,20002.0,House
"Kuala Lumpur, Kuala Lumpur",550000.0,48732.0,3.0,2.0,112.872,Condo
"Kuala Lumpur, Kuala Lumpur",899000.0,58052.0,4.0,3.0,154.862,Condo
"Kuala Lumpur, Kuala Lumpur",1000000.0,87512.0,3.0,3.0,114.272,Condo
"Johor Bahru, Johor",1580000.0,4792.0,5.0,5.0,33002.0,House
Johor,338000.0,3522.0,4.0,3.0,9602.0,House
"Kota Kinabalu, Sabah",500000.0,38642.0,3.0,2.0,129.412,House
"Kuala Lumpur, Kuala Lumpur",4000000.0,83982.0,6.0,6.0,476.32,House
"Ulu Langat, Selangor",1150000.0,35232.0,5.0,5.0,326.452,House
"Gombak, Selangor",1500000.0,6002.0,4.0,5.0,25002.0,House
"Kuala Lumpur, Kuala Lumpur",260000.0,33122.0,3.0,2.0,78.52,Apartment
"Ulu Langat, Selangor",1450000.0,60032.0,4.0,4.0,241.542,House
"Petaling, Selangor",188000.0,23752.0,3.0,2.0,79.152,Apartment
"Putrajaya, Putrajaya",580000.0,63322.0,3.0,2.0,91.62,Condo
"Petaling, Selangor",400000.0,43942.0,3.0,2.0,91.042,Condo
"Johor Bahru, Johor",598000.0,33532.0,5.0,3.0,178.372,House
"Petaling, Selangor",400000.0,50652.0,3.0,2.0,78.972,Apartment
"Petaling, Selangor",550000.0,41692.0,4.0,3.0,131.922,Condo
"Kuala Lumpur, Kuala Lumpur",799000.0,64432.0,3.0,3.0,124.022,Condo
"Kuala Lumpur, Kuala Lumpur",450000.0,46572.0,3.0,2.0,96.622,Condo
"Klang, Selangor",200000.0,26322.0,3.0,2.0,75.992,Apartment
"Johor Bahru, Johor",410000.0,45042.0,3.0,2.0,91.042,Apartment
"Kuala Lumpur, Kuala Lumpur",530000.0,46962.0,3.0,2.0,112.872,Condo
"Kuala Lumpur, Kuala Lumpur",1000000.0,61652.0,4.0,4.0,162.22,Condo
"Johor Bahru, Johor",280000.0,31732.0,3.0,2.0,88.252,Condo
"Kuala Lumpur, Kuala Lumpur",550000.0,48732.0,3.0,2.0,112.872,Condo
"Johor Bahru, Johor",535000.0,33882.0,4.0,3.0,157.932,House
"Petaling, Selangor",245000.0,24422.0,3.0,2.0,100.332,Apartment
"Kuala Lumpur, Kuala Lumpur",550000.0,63932.0,3.0,2.0,86.032,Condo
"Gombak, Selangor",459000.0,3272.0,3.0,2.0,14052.0,Condo
"Petaling, Selangor",465000.0,37752.0,3.0,2.0,123.192,Condo
"Petaling, Selangor",1250000.0,120242.0,3.0,2.0,103.962,Condo
"Petaling, Selangor",249000.0,26352.0,3.0,2.0,94.482,Apartment
"Kuala Lumpur, Kuala Lumpur",790000.0,47242.0,4.0,3.0,167.222,Condo
"Kuala Lumpur, Kuala Lumpur",500000.0,48842.0,3.0,2.0,102.382,Condo
"Petaling, Selangor",5600000.0,82172.0,7.0,7.0,681.512,House
"Petaling, Selangor",450000.0,87122.0,2.0,1.0,51.652,Condo
"Johor Bahru, Johor",1000000.0,71762.0,4.0,3.0,139.352,Serviced Apartment
"Kuala Lumpur, Kuala Lumpur",380000.0,36752.0,3.0,2.0,103.42,Condo
"Ulu Langat, Selangor",1700000.0,51852.0,5.0,4.0,327.842,House
"Kuala Lumpur, Kuala Lumpur",1236800.0,107542.0,3.0,2.0,115.012,Condo
"Petaling, Selangor",538888.0,33692.0,4.0,3.0,159.972,Condo
"Johor Bahru, Johor",528000.0,48582.0,4.0,3.0,108.692,House
"Petaling, Selangor",3000000.0,5482.0,8.0,8.0,54752.0,House
"Petaling, Selangor",399000.0,31192.0,3.0,2.0,127.922,Apartment
"Petaling, Selangor",430000.0,46432.0,3.0,2.0,92.622,Condo
"Klang, Selangor",549000.0,37882.0,4.0,3.0,144.922,House
"Petaling, Selangor",2500000.0,70822.0,5.0,6.0,353.022,House
"Petaling, Selangor",1950000.0,55842.0,6.0,7.0,349.212,House
"Petaling, Selangor",320000.0,37562.0,4.0,2.0,85.192,Condo
"Johor Bahru, Johor",1880000.0,61732.0,6.0,6.0,304.532,House
"Kuala Lumpur, Kuala Lumpur",670000.0,65562.0,3.0,2.0,102.192,Condo
"Petaling, Selangor",722536.0,66192.0,3.0,2.0,109.162,Condo
"Petaling, Selangor",6900000.0,70412.0,6.0,7.0,9802.0,House
"Ulu Langat, Selangor",1670000.0,35952.0,6.0,6.0,464.52,House
"Sepang, Selangor",598000.0,47512.0,5.0,3.0,125.882,House
"Petaling, Selangor",370000.0,36212.0,3.0,2.0,102.192,Condo
"Klang, Selangor",599000.0,28662.0,4.0,3.0,209.032,House
"Petaling, Selangor",350000.0,39662.0,3.0,2.0,88.252,Condo
"Johor Bahru, Johor",530000.0,2882.0,4.0,3.0,18382.0,House
"Petaling, Selangor",650000.0,48762.0,4.0,3.0,133.312,Condo
"Kuala Lumpur, Kuala Lumpur",520000.0,43702.0,3.0,2.0,1192.0,Condo
"Ulu Langat, Selangor",328000.0,41532.0,3.0,2.0,78.972,Apartment
"Petaling, Selangor",499888.0,31252.0,4.0,3.0,159.972,Condo
"Johor Bahru, Johor",598000.0,29262.0,4.0,4.0,204.382,House
"Gombak, Selangor",1250000.0,4512.0,4.0,3.0,27712.0,House
"Petaling, Selangor",650000.0,38872.0,4.0,3.0,167.222,House
"Petaling, Selangor",2100000.0,56512.0,6.0,5.0,371.62,House
"Petaling, Selangor",220000.0,23292.0,3.0,2.0,94.482,Apartment
"Sepang, Selangor",398000.0,4982.0,3.0,2.0,8002.0,Condo
"Petaling, Selangor",388000.0,4852.0,3.0,2.0,8002.0,Condo
"Kinta, Perak",238000.0,25592.0,4.0,2.0,932.0,House
"Kinta, Perak",338800.0,36432.0,4.0,2.0,932.0,House
"Putrajaya, Putrajaya",250000.0,44852.0,2.0,2.0,55.742,Condo
"Seremban, Negeri Sembilan",243000.0,40252.0,2.0,2.0,60.382,Condo
"Kuala Lumpur, Kuala Lumpur",770000.0,36042.0,4.0,3.0,213.672,House
"Kuala Lumpur, Kuala Lumpur",718000.0,80512.0,3.0,2.0,89.182,Condo
"Kuala Lumpur, Kuala Lumpur",653000.0,47882.0,3.0,3.0,136.382,Condo
"Petaling, Selangor",430000.0,33062.0,3.0,3.0,130.062,Condo
"Petaling, Selangor",750000.0,84992.0,3.0,2.0,88.252,Condo
"Gombak, Selangor",429000.0,3062.0,3.0,2.0,14002.0,Condo
"Kuala Lumpur, Kuala Lumpur",460000.0,19422.0,4.0,4.0,236.892,House
"Putrajaya, Putrajaya",220000.0,47362.0,2.0,2.0,46.452,Condo
"Kuala Lumpur, Kuala Lumpur",658000.0,41962.0,4.0,3.0,156.822,House
"Kuala Lumpur, Kuala Lumpur",590000.0,33432.0,3.0,2.0,176.512,Condo
"Petaling, Selangor",550000.0,33392.0,4.0,3.0,164.712,Condo
"Gombak, Selangor",840000.0,39312.0,4.0,4.0,213.672,House
"Petaling, Selangor",730000.0,7852.0,3.0,2.0,9302.0,Condo
"Kuala Lumpur, Kuala Lumpur",750000.0,7892.0,3.0,2.0,9502.0,Condo
"Petaling, Selangor",430000.0,33062.0,3.0,2.0,130.062,Condo
"Kuala Lumpur, Kuala Lumpur",418000.0,28122.0,3.0,3.0,148.642,Condo
"Ulu Langat, Selangor",489000.0,40492.0,3.0,3.0,120.772,Condo
"Ulu Langat, Selangor",518000.0,38382.0,3.0,3.0,134.982,Condo
"Gombak, Selangor",450000.0,35752.0,3.0,2.0,125.882,Condo
"Kuala Lumpur, Kuala Lumpur",447000.0,35122.0,3.0,2.0,127.272,Condo
"Petaling, Selangor",450000.0,35882.0,3.0,3.0,125.412,Condo
"Gombak, Selangor",430000.0,34162.0,3.0,2.0,125.882,Condo
"Kuala Lumpur, Kuala Lumpur",1000000.0,69992.0,4.0,3.0,142.882,Condo
"Kuala Lumpur, Kuala Lumpur",708800.0,82222.0,3.0,2.0,86.212,Condo
"Barat Daya, Pulau Pinang",650000.0,26842.0,4.0,4.0,242.192,House
"Kuala Lumpur, Kuala Lumpur",420000.0,3002.0,3.0,2.0,14002.0,Condo
"Petaling, Selangor",450000.0,35672.0,3.0,2.0,126.162,Condo
"Petaling, Selangor",230000.0,45022.0,2.0,2.0,51.092,Condo
"Petaling, Selangor",300000.0,40372.0,2.0,2.0,74.322,Condo
"Kuala Lumpur, Kuala Lumpur",485000.0,4112.0,3.0,2.0,11802.0,Condo
"Kuala Lumpur, Kuala Lumpur",500000.0,19222.0,5.0,4.0,260.122,House
"Kuala Lumpur, Kuala Lumpur",428000.0,33632.0,3.0,2.0,127.272,Condo
"Petaling, Selangor",750000.0,84992.0,3.0,2.0,88.252,Condo
"Kuala Lumpur, Kuala Lumpur",705880.0,33772.0,4.0,4.0,209.032,House
"Kuala Lumpur, Kuala Lumpur",530000.0,47542.0,3.0,3.0,111.482,Condo
"Ulu Langat, Selangor",500000.0,27052.0,4.0,3.0,184.872,House
"Petaling, Selangor",748000.0,35012.0,4.0,4.0,213.672,House
"Putrajaya, Putrajaya",250000.0,44852.0,2.0,2.0,55.742,Condo
"Kuala Lumpur, Kuala Lumpur",430000.0,33792.0,3.0,2.0,127.272,Condo
"Petaling, Selangor",717800.0,83082.0,3.0,2.0,86.42,Condo
"Kuala Lumpur, Kuala Lumpur",670000.0,28852.0,5.0,5.0,232.252,Condo
"Kuala Lumpur, Kuala Lumpur",840000.0,39312.0,4.0,4.0,213.672,House
"Petaling, Selangor",443000.0,35322.0,3.0,2.0,125.412,Condo
"Ulu Langat, Selangor",300000.0,32292.0,3.0,2.0,92.92,Condo
"Petaling, Selangor",900000.0,38752.0,5.0,5.0,232.252,House
"Kuala Lumpur, Kuala Lumpur",856800.0,38622.0,4.0,4.0,221.852,House
"Kuala Lumpur, Kuala Lumpur",600000.0,78762.0,3.0,2.0,76.182,Condo
"Petaling, Selangor",250000.0,34502.0,2.0,2.0,72.462,Condo
"Kuala Lumpur, Kuala Lumpur",700000.0,81462.0,3.0,2.0,85.932,Condo
"Kuala Selangor, Selangor",443000.0,34062.0,3.0,2.0,130.062,Condo
"Gombak, Selangor",850000.0,39782.0,4.0,4.0,213.672,House
"Gombak, Selangor",445800.0,35812.0,3.0,2.0,124.492,Condo
"Kuala Lumpur, Kuala Lumpur",442000.0,33982.0,3.0,2.0,130.062,Condo
"Petaling, Selangor",430000.0,33062.0,3.0,2.0,130.062,Condo
"Petaling, Selangor",828000.0,37142.0,4.0,3.0,222.962,House
"Petaling, Selangor",700000.0,30142.0,5.0,5.0,232.252,Condo
"Petaling, Selangor",920000.0,36682.0,5.0,5.0,250.832,House
"Petaling, Selangor",780000.0,34772.0,5.0,5.0,224.352,Condo
"Kuala Lumpur, Kuala Lumpur",750800.0,85082.0,3.0,2.0,88.252,Condo
"Kuala Lumpur, Kuala Lumpur",878600.0,41332.0,4.0,4.0,212.562,House
"Kuala Lumpur, Kuala Lumpur",430000.0,33792.0,3.0,2.0,127.272,Condo
"Petaling, Selangor",820000.0,36782.0,4.0,4.0,222.962,House
"Kuala Lumpur, Kuala Lumpur",435800.0,30862.0,3.0,2.0,141.212,Condo
"Kuala Lumpur, Kuala Lumpur",838800.0,37972.0,4.0,4.0,220.922,House
"Kuala Lumpur, Kuala Lumpur",568800.0,37382.0,3.0,3.0,152.172,House
"Kuala Lumpur, Kuala Lumpur",415000.0,3462.0,3.0,2.0,12002.0,Condo
"Kuala Lumpur, Kuala Lumpur",445800.0,35812.0,3.0,2.0,124.492,Condo
"Petaling, Selangor",900000.0,38752.0,5.0,5.0,232.252,House
"Kuala Lumpur, Kuala Lumpur",418000.0,60002.0,3.0,2.0,69.672,Condo
"Sepang, Selangor",299000.0,24762.0,4.0,3.0,120.772,Condo
"Kuala Lumpur, Kuala Lumpur",588000.0,37542.0,3.0,3.0,156.632,House
"Kuala Lumpur, Kuala Lumpur",443000.0,34062.0,3.0,2.0,130.062,Condo
"Kuala Lumpur, Kuala Lumpur",400000.0,4442.0,3.0,2.0,9002.0,Condo
"Ulu Langat, Selangor",489000.0,42012.0,3.0,3.0,116.42,Condo
"Kuala Lumpur, Kuala Lumpur",550000.0,40752.0,3.0,3.0,134.982,Condo
"Petaling, Selangor",870000.0,39022.0,4.0,4.0,222.962,House
"Petaling, Selangor",250000.0,38442.0,2.0,2.0,65.032,Condo
"Petaling, Selangor",450000.0,34602.0,3.0,2.0,130.062,Condo
"Kuala Lumpur, Kuala Lumpur",770000.0,33152.0,4.0,3.0,232.252,House
"Kuala Lumpur, Kuala Lumpur",420800.0,58072.0,3.0,2.0,72.462,Condo
"Petaling, Selangor",420000.0,3002.0,3.0,2.0,14002.0,Condo
"Petaling, Selangor",398000.0,57132.0,3.0,2.0,69.672,Condo
"Petaling, Selangor",900000.0,38752.0,5.0,5.0,232.252,House
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Petaling, Selangor",800000.0,3332.0,4.0,4.0,24002.0,House
"Petaling, Selangor",400000.0,57412.0,3.0,2.0,69.672,Condo
"Kuala Lumpur, Kuala Lumpur",530000.0,57052.0,3.0,2.0,92.92,Condo
"Petaling, Selangor",730000.0,78582.0,3.0,2.0,92.92,Condo
"Petaling, Selangor",240000.0,48932.0,2.0,2.0,49.052,Condo
"Kuala Lumpur, Kuala Lumpur",658000.0,41962.0,4.0,3.0,156.822,House
"Gombak, Selangor",928000.0,41622.0,4.0,4.0,222.962,House
"Putrajaya, Putrajaya",240000.0,48022.0,2.0,2.0,49.982,Condo
"Kuala Lumpur, Kuala Lumpur",550000.0,4662.0,3.0,2.0,11802.0,Condo
"Kuala Lumpur, Kuala Lumpur",828800.0,38792.0,4.0,4.0,213.672,House
"Kuala Lumpur, Kuala Lumpur",750000.0,5772.0,3.0,2.0,13002.0,Condo
"Kuala Lumpur, Kuala Lumpur",730000.0,7852.0,3.0,2.0,9302.0,Condo
"Papar, Sabah",300960.0,38562.0,3.0,2.0,78.042,Condo
"Hilir Perak, Perak",200000.0,2222.0,3.0,2.0,9002.0,House
"Kuala Lumpur, Kuala Lumpur",485000.0,4042.0,3.0,2.0,12002.0,Condo
"Gombak, Selangor",445000.0,35752.0,3.0,2.0,124.492,Condo
"Kuala Lumpur, Kuala Lumpur",440000.0,35342.0,3.0,2.0,124.492,Condo
"Petaling, Selangor",800000.0,34452.0,4.0,4.0,232.252,House
"Kuala Lumpur, Kuala Lumpur",728000.0,41952.0,4.0,4.0,173.542,House
"Petaling, Selangor",700000.0,30142.0,5.0,5.0,232.252,Condo
"Kuala Lumpur, Kuala Lumpur",758800.0,38752.0,4.0,4.0,195.832,House
"Kuala Lumpur, Kuala Lumpur",430000.0,33792.0,3.0,2.0,127.272,Condo
"Petaling, Selangor",429000.0,3062.0,3.0,2.0,14002.0,Condo
"Seremban, Negeri Sembilan",299000.0,24762.0,4.0,3.0,120.772,Condo
"Sepang, Selangor",230000.0,51792.0,2.0,1.0,44.412,Condo
"Kuala Lumpur, Kuala Lumpur",850000.0,39782.0,4.0,4.0,213.672,House
"Petaling, Selangor",388800.0,5182.0,3.0,2.0,7502.0,Condo
"Kuala Lumpur, Kuala Lumpur",650800.0,41952.0,4.0,3.0,155.142,House
"Kuala Lumpur, Kuala Lumpur",488000.0,4002.0,3.0,2.0,12202.0,Condo
"Gombak, Selangor",828800.0,38792.0,4.0,4.0,213.672,House
"Kuala Lumpur, Kuala Lumpur",200000.0,21342.0,3.0,3.0,93.742,Condo
"Kuala Lumpur, Kuala Lumpur",428000.0,32912.0,3.0,2.0,130.062,Condo
"Petaling, Selangor",580000.0,36732.0,3.0,3.0,157.932,House
"Ulu Langat, Selangor",330000.0,35522.0,3.0,2.0,92.92,Condo
"Gombak, Selangor",300000.0,32292.0,3.0,2.0,92.92,Condo
"Kuala Lumpur, Kuala Lumpur",530000.0,43552.0,3.0,3.0,121.72,Condo
"Petaling, Selangor",418000.0,2992.0,3.0,3.0,14002.0,Condo
"Kuala Lumpur, Kuala Lumpur",428800.0,33692.0,3.0,2.0,127.272,Condo
"Kuala Lumpur, Kuala Lumpur",638000.0,57332.0,3.0,3.0,111.292,Condo
"Gombak, Selangor",550000.0,47252.0,3.0,3.0,116.42,Condo
"Sepang, Selangor",249000.0,39422.0,2.0,2.0,63.172,Condo
"Putrajaya, Putrajaya",250000.0,44852.0,2.0,2.0,55.742,Condo
"Kuala Lumpur, Kuala Lumpur",600800.0,65452.0,3.0,2.0,91.792,Condo
"Petaling, Selangor",450000.0,16152.0,3.0,3.0,278.72,House
"Gombak, Selangor",1038000.0,40082.0,5.0,5.0,259.012,House
"Petaling, Selangor",820000.0,38382.0,4.0,4.0,213.672,House
"Kuala Lumpur, Kuala Lumpur",420800.0,4682.0,3.0,2.0,9002.0,Condo
"Klang, Selangor",515000.0,23592.0,4.0,3.0,218.312,House
"Petaling, Selangor",450000.0,32292.0,3.0,3.0,139.352,House
"Petaling, Selangor",828800.0,37712.0,4.0,4.0,219.82,House
"Petaling, Selangor",788800.0,38592.0,4.0,3.0,204.382,House
"Kuala Lumpur, Kuala Lumpur",856800.0,43202.0,4.0,4.0,198.342,House
"Kuala Lumpur, Kuala Lumpur",950000.0,96382.0,3.0,2.0,98.572,Serviced Apartment
"Gombak, Selangor",238000.0,45912.0,2.0,2.0,51.842,Condo
"Kuala Lumpur, Kuala Lumpur",828800.0,35012.0,4.0,4.0,236.712,House
"Kuala Lumpur, Kuala Lumpur",430000.0,33792.0,3.0,2.0,127.272,Condo
"Kuala Lumpur, Kuala Lumpur",418000.0,31032.0,3.0,3.0,134.72,Condo
"Petaling, Selangor",750000.0,35102.0,4.0,3.0,213.672,House
"Kuala Lumpur, Kuala Lumpur",505700.0,51362.0,3.0,2.0,98.472,Condo
"Kuala Lumpur, Kuala Lumpur",420000.0,25122.0,3.0,2.0,167.222,Condo
"Petaling, Selangor",730000.0,84492.0,3.0,2.0,86.42,Condo
"Kuala Lumpur, Kuala Lumpur",658000.0,41962.0,4.0,3.0,156.822,House
"Kuala Lumpur, Kuala Lumpur",430000.0,33792.0,3.0,2.0,127.272,Condo
"Kuala Lumpur, Kuala Lumpur",680000.0,29282.0,5.0,5.0,232.252,Condo
"Kuala Lumpur, Kuala Lumpur",378800.0,62742.0,2.0,1.0,60.382,Condo
"Kuala Lumpur, Kuala Lumpur",530000.0,57052.0,3.0,2.0,92.92,Condo
"Petaling, Selangor",1108800.0,48722.0,5.0,5.0,227.62,House
"Kuala Lumpur, Kuala Lumpur",418000.0,31032.0,3.0,3.0,134.72,Condo
"Petaling, Selangor",428000.0,3172.0,3.0,2.0,13502.0,Condo
"Seremban, Negeri Sembilan",299999.0,24842.0,4.0,3.0,120.772,Condo
"Kuala Lumpur, Kuala Lumpur",415000.0,3522.0,3.0,2.0,11802.0,Condo
"Petaling, Selangor",480000.0,58062.0,3.0,2.0,82.682,Condo
"Kuala Lumpur, Kuala Lumpur",836000.0,45912.0,4.0,4.0,182.082,House
"Kuala Lumpur, Kuala Lumpur",928000.0,43432.0,4.0,4.0,213.672,House
"Petaling, Selangor",650000.0,85322.0,3.0,2.0,76.182,Condo
"Kuala Lumpur, Kuala Lumpur",220000.0,47362.0,2.0,2.0,46.452,Condo
"Kuala Lumpur, Kuala Lumpur",528000.0,37892.0,3.0,2.0,139.352,Condo
"Kuala Lumpur, Kuala Lumpur",760000.0,86122.0,3.0,2.0,88.252,Condo
"Kuala Lumpur, Kuala Lumpur",420000.0,4672.0,3.0,3.0,9002.0,Condo
"Kuala Lumpur, Kuala Lumpur",430000.0,33792.0,3.0,2.0,127.272,Condo
"Petaling, Selangor",1108000.0,45872.0,5.0,5.0,241.542,House
"Petaling, Selangor",700000.0,30142.0,5.0,5.0,232.252,Condo
"Petaling, Selangor",718800.0,83382.0,3.0,2.0,86.212,Condo
"Kuala Lumpur, Kuala Lumpur",530000.0,51862.0,3.0,2.0,102.192,Condo
"Kuala Lumpur, Kuala Lumpur",489123.0,42502.0,3.0,2.0,115.12,Condo
"Kuala Lumpur, Kuala Lumpur",1080000.0,45062.0,4.0,4.0,239.682,House
"Kuala Lumpur, Kuala Lumpur",518000.0,38382.0,3.0,3.0,134.982,Condo
"Seremban, Negeri Sembilan",300000.0,35882.0,2.0,2.0,83.612,Condo
"Petaling, Selangor",245000.0,47952.0,2.0,2.0,51.092,Condo
"Putrajaya, Putrajaya",210000.0,45212.0,2.0,1.0,46.452,Condo
"Petaling, Selangor",800000.0,37442.0,4.0,4.0,213.672,House
"Kuala Lumpur, Kuala Lumpur",428000.0,32912.0,3.0,2.0,130.062,Condo
"Kuala Lumpur, Kuala Lumpur",600000.0,71762.0,3.0,2.0,83.612,Condo
"Petaling, Selangor",279000.0,37542.0,2.0,2.0,74.322,Condo
"Ulu Langat, Selangor",523000.0,38752.0,3.0,3.0,134.982,Condo
"Seremban, Negeri Sembilan",299999.0,24842.0,4.0,3.0,120.772,Condo
"Sepang, Selangor",350000.0,28982.0,4.0,3.0,120.772,Condo
"Petaling, Selangor",230000.0,41262.0,2.0,2.0,55.742,Condo
"Petaling, Selangor",760800.0,37222.0,4.0,3.0,204.382,House
"Gombak, Selangor",828800.0,38792.0,4.0,4.0,213.672,House
"Gombak, Selangor",378800.0,16992.0,4.0,4.0,222.962,House
"Kuala Lumpur, Kuala Lumpur",1000000.0,69992.0,4.0,3.0,142.882,Condo
"Kuala Lumpur, Kuala Lumpur",750000.0,84992.0,3.0,2.0,88.252,Condo
"Kuala Lumpur, Kuala Lumpur",750000.0,8062.0,3.0,2.0,9302.0,Condo
"Kuala Lumpur, Kuala Lumpur",850000.0,39782.0,4.0,4.0,213.672,House
"Putrajaya, Putrajaya",240000.0,47142.0,1.0,1.0,50.912,Condo
