location,list_price,unit_price,number_bedroom,number_bathroom,area,type
"Johor Bahru, Johor",1400000.0,51852.0,5.0,4.0,2702.0,House
"Sepang, Selangor",230000.0,49522.0,2.0,1.0,46.452,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",230000.0,49522.0,2.0,1.0,46.452,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Johor Bahru, Johor",1050000.0,44682.0,5.0,3.0,2352.0,House
"Johor Bahru, Johor",1050000.0,44682.0,5.0,3.0,2352.0,House
"Johor Bahru, Johor",738000.0,40112.0,4.0,3.0,1842.0,House
"Johor Bahru, Johor",1250000.0,38882.0,5.0,6.0,321.52,House
"Johor Bahru, Johor",690000.0,28402.0,4.0,5.0,242.932,Townhouse
"Sepang, Selangor",230000.0,49522.0,2.0,1.0,46.452,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Johor Bahru, Johor",1200000.0,32262.0,5.0,4.0,3722.0,House
"Johor Bahru, Johor",697000.0,227332.0,1.0,1.0,30.662,Serviced Apartment
"Johor Bahru, Johor",995000.0,53782.0,4.0,3.0,1852.0,House
"Johor Bahru, Johor",995000.0,53782.0,4.0,3.0,1852.0,House
"Johor Bahru, Johor",408000.0,,2.0,,23002.0,House
"Johor Bahru, Johor",348000.0,3282.0,3.0,,10602.0,Serviced Apartment
"Johor Bahru, Johor",618000.0,26872.0,4.0,3.0,2302.0,House
"Johor Bahru, Johor",508000.0,47042.0,4.0,,1082.0,House
"Johor Bahru, Johor",410000.0,38322.0,3.0,2.0,1072.0,Apartment
"Sepang, Selangor",210000.0,,2.0,1.0,,Serviced Apartment
"Muar, Johor",468000.0,32712.0,3.0,2.0,143.072,House
"Johor Bahru, Johor",550000.0,3932.0,3.0,,14002.0,House
"Sepang, Selangor",230000.0,,2.0,1.0,,Serviced Apartment
Johor,778000.0,,5.0,5.0,32002.0,House
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",380000.0,31462.0,5.0,3.0,120.772,Condo
"Sepang, Selangor",230000.0,49522.0,2.0,1.0,46.452,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",380000.0,31462.0,5.0,3.0,120.772,Condo
"Sepang, Selangor",230000.0,49522.0,2.0,1.0,46.452,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",230000.0,49522.0,2.0,1.0,46.452,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",230000.0,49522.0,2.0,1.0,46.452,Condo
"Sepang, Selangor",230000.0,49522.0,2.0,1.0,46.452,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",230000.0,49522.0,2.0,1.0,46.452,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",230000.0,49522.0,2.0,1.0,46.452,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",230000.0,112.0,2.0,1.0,213672.0,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",230000.0,49522.0,2.0,1.0,46.452,Condo
"Ulu Langat, Selangor",300000.0,33572.0,3.0,2.0,89.372,Condo
"Ulu Langat, Selangor",300000.0,33572.0,3.0,2.0,89.372,Condo
"Sepang, Selangor",230000.0,49522.0,2.0,1.0,46.452,Condo
"Sepang, Selangor",300000.0,33572.0,3.0,2.0,89.372,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Ulu Langat, Selangor",300000.0,33572.0,3.0,2.0,89.372,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",230000.0,49522.0,2.0,1.0,46.452,Condo
"Sepang, Selangor",230000.0,49522.0,2.0,1.0,46.452,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",230000.0,49522.0,2.0,1.0,46.452,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Johor Bahru, Johor",590000.0,38492.0,4.0,3.0,153.282,House
"Johor Bahru, Johor",620000.0,51672.0,4.0,,1202.0,House
"Sepang, Selangor",225000.0,,2.0,2.0,,Condo
"Sepang, Selangor",225000.0,,2.0,2.0,,Condo
"Sepang, Selangor",225000.0,,2.0,2.0,,Condo
"Sepang, Selangor",210000.0,,1.0,1.0,,Condo
"Sepang, Selangor",210000.0,,1.0,1.0,,Condo
"Sepang, Selangor",210000.0,,2.0,1.0,,Condo
"Sepang, Selangor",230000.0,,2.0,1.0,,Condo
"Sepang, Selangor",210000.0,,2.0,1.0,,Serviced Apartment
"Sepang, Selangor",230000.0,,2.0,1.0,,Condo
"Sepang, Selangor",230000.0,,2.0,1.0,,Condo
"Sepang, Selangor",230000.0,,1.0,1.0,,Condo
"Sepang, Selangor",230000.0,,2.0,1.0,,Condo
"Sepang, Selangor",210000.0,,1.0,1.0,,Condo
"Sepang, Selangor",210000.0,,1.0,1.0,,Serviced Apartment
"Sepang, Selangor",250000.0,,2.0,1.0,,Condo
"Sepang, Selangor",225000.0,,2.0,1.0,,Condo
"Putrajaya, Putrajaya",210000.0,,2.0,1.0,,Serviced Apartment
"Putrajaya, Putrajaya",210000.0,,2.0,1.0,,Serviced Apartment
"Johor Bahru, Johor",280000.0,2692.0,4.0,2.0,10402.0,House
"Johor Bahru, Johor",168000.0,32882.0,2.0,1.0,51.092,Apartment
Johor,480000.0,2672.0,4.0,,18002.0,House
"Ulu Langat, Selangor",197000.0,,2.0,1.0,,Condo
"Sepang, Selangor",197000.0,,2.0,1.0,,Condo
"Johor Bahru, Johor",550000.0,30902.0,3.0,2.0,1782.0,House
"Sepang, Selangor",197000.0,,2.0,1.0,,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Johor Bahru, Johor",740000.0,37952.0,4.0,4.0,1952.0,House
"Johor Bahru, Johor",588000.0,46302.0,3.0,2.0,1272.0,House
"Sepang, Selangor",210000.0,,2.0,1.0,,Condo
"Sepang, Selangor",225000.0,,2.0,1.0,,Condo
"Sepang, Selangor",230000.0,,2.0,1.0,,Condo
"Sepang, Selangor",210000.0,,2.0,1.0,,Condo
"Johor Bahru, Johor",118000.0,25652.0,2.0,1.0,462.0,Apartment
"Johor Bahru, Johor",948000.0,54172.0,4.0,4.0,1752.0,House
"Johor Bahru, Johor",950000.0,35322.0,4.0,4.0,2692.0,House
"Johor Bahru, Johor",950000.0,35322.0,4.0,4.0,2692.0,House
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",230000.0,49522.0,2.0,1.0,46.452,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",380000.0,31462.0,4.0,3.0,120.772,Condo
"Sepang, Selangor",380000.0,31462.0,4.0,3.0,120.772,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
